id_driver,recency,frequency,monetary_value,updated_at
27067,8,81,6358,2020-03-23 07:12:30.410 UTC
774472,7,208,784,2020-03-23 07:12:30.410 UTC
426225,8,76,2257,2020-03-23 07:12:30.410 UTC
445942,6,183,2456,2020-03-23 07:12:30.410 UTC
492163,8,100,1103,2020-03-23 07:12:30.410 UTC
777962,7,2,331,2020-03-23 07:12:30.410 UTC
15531,6,102,5775,2020-03-23 07:12:30.410 UTC
701685,6,183,1976,2020-03-23 07:12:30.410 UTC
400735,6,204,5664,2020-03-23 07:12:30.410 UTC
740142,7,435,2718,2020-03-23 07:12:30.410 UTC
622547,3,94,2196,2020-03-23 07:12:30.410 UTC
577023,24,43,611,2020-03-23 07:12:30.410 UTC
679779,1,203,2051,2020-03-23 07:12:30.410 UTC
539771,1,202,3683,2020-03-23 07:12:30.410 UTC
731610,6,12,572,2020-03-23 07:12:30.410 UTC
151112,9,26,5199,2020-03-23 07:12:30.410 UTC
654670,6,280,1100,2020-03-23 07:12:30.410 UTC
382414,6,120,5526,2020-03-23 07:12:30.410 UTC
736206,24,54,978,2020-03-23 07:12:30.410 UTC
667099,6,68,1661,2020-03-23 07:12:30.410 UTC
300146,6,116,4548,2020-03-23 07:12:30.410 UTC
748955,7,150,844,2020-03-23 07:12:30.410 UTC
704403,7,173,887,2020-03-23 07:12:30.410 UTC
32993,7,131,6655,2020-03-23 07:12:30.410 UTC
482830,7,107,2339,2020-03-23 07:12:30.410 UTC
58618,8,60,4832,2020-03-23 07:12:30.410 UTC
112330,6,81,1863,2020-03-23 07:12:30.410 UTC
753923,10,31,274,2020-03-23 07:12:30.410 UTC
308257,8,140,5037,2020-03-23 07:12:30.410 UTC
676884,8,51,308,2020-03-23 07:12:30.410 UTC
196176,6,63,1742,2020-03-23 07:12:30.410 UTC
600286,11,140,2255,2020-03-23 07:12:30.410 UTC
381625,8,128,645,2020-03-23 07:12:30.410 UTC
649525,6,181,2186,2020-03-23 07:12:30.410 UTC
212936,6,122,456,2020-03-23 07:12:30.410 UTC
99677,6,201,5971,2020-03-23 07:12:30.410 UTC
267325,8,94,2661,2020-03-23 07:12:30.410 UTC
460798,7,128,1224,2020-03-23 07:12:30.410 UTC
574409,8,9,1835,2020-03-23 07:12:30.410 UTC
69885,7,104,6427,2020-03-23 07:12:30.410 UTC
102572,9,65,1713,2020-03-23 07:12:30.410 UTC
408126,6,274,1071,2020-03-23 07:12:30.410 UTC
8057,6,199,15729,2020-03-23 07:12:30.410 UTC
720478,6,170,1405,2020-03-23 07:12:30.410 UTC
155812,6,250,11848,2020-03-23 07:12:30.410 UTC
22190,6,140,2433,2020-03-23 07:12:30.410 UTC
35928,15,25,7024,2020-03-23 07:12:30.410 UTC
747421,7,264,1802,2020-03-23 07:12:30.410 UTC
283621,3,246,5155,2020-03-23 07:12:30.410 UTC
397869,6,214,3707,2020-03-23 07:12:30.410 UTC
707442,29,9,205,2020-03-23 07:12:30.410 UTC
751765,11,20,222,2020-03-23 07:12:30.410 UTC
12436,8,50,4562,2020-03-23 07:12:30.410 UTC
750316,10,101,620,2020-03-23 07:12:30.410 UTC
65272,7,120,2420,2020-03-23 07:12:30.410 UTC
358623,6,86,1944,2020-03-23 07:12:30.410 UTC
